mnxr	stratum	verdict	detail	prompt_tokens	completion_tokens
MNXR179259	movable	unusable	["smiles 'CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C\",' unparseable"]	2949	262
MNXR144295	movable	unbalanced	{"C": 8.0, "O": 1.0}	2767	282
MNXR120044	movable	unbalanced	{"C": -2.0, "N": -1.0}	2734	563
MNXR155976	movable	unbalanced	{"C": 2.0, "O": 2.0}	2768	427
MNXR132855	movable	unbalanced	{"N": -7.0, "C": -7.0, "P": -2.0, "O": -10.0}	2822	565
MNXR198614	movable	unbalanced	{"C": 26.0}	2794	250
MNXR165753	movable	unusable	["smiles 'O[C@H]1[C@H](O)[C@@H](CO[P](O)(O)O)O[C@@H]1NC1=OCC2=C1N=CN=C2NC=C1C=CC=C1' unparseable", "smiles 'O[C@H]1[C@H](O)[C@@H](CO)[C@@H](O)[C@@H]1NC1=OCC2=C1N=CN=C2NC=C1C=CC=C1' unparseable"]	2870	467
MNXR131330	movable	unusable	["smiles 'O=P([O-])([O-])OC[C@H]1O[C@H](O[C@]12C=C(C=C2[N+](=O)[O-])[N+](=O)[O-])[C@H](O)[C@@H](O)[C@@H]1O' unparseable"]	2799	363
MNXR144320	movable	unbalanced	{"N": -1.0, "C": -6.0, "O": -2.0}	2806	704
MNXR101846	movable	unbalanced	{"N": -1.0, "S": -1.0, "C": -8.0, "O": -8.0}	2815	528
MNXR100950	one_sided	refused	["The reaction has no participants and cannot be made concrete."]	2559	47
MNXR130605	movable	unusable	["smiles 'CC(C)(C)C1=CC(=O)C2OC(O)C1=O' unparseable"]	2986	262
MNXR119266	no_lever	balanced	{}	2781	165
MNXR179940	movable	balanced	{}	2814	333
MNXR116708	movable	unbalanced	{"*": 2.0}	2763	398
MNXR123968	one_sided	refused	["No reaction equation provided and no structured participants available to infer chemistry."]	2559	49
MNXR166307	movable	unbalanced	{"C": 4.0, "O": 4.0}	3162	333
MNXR130854	movable	unbalanced	{"O": -2.0}	2662	326
MNXR163223	movable	unbalanced	{"C": 1.0, "O": -4.0, "*": -4.0}	3063	382
MNXR95331	movable	unbalanced	{"S": -2.0, "C": -25.0, "O": -3.0, "N": -2.0}	2944	696
MNXR130154	movable	unbalanced	{"C": 1.0}	2734	476
MNXR172854	movable	unbalanced	{"C": -2.0, "O": 1.0}	2928	312
MNXR97900	movable	unbalanced	{"C": -1.0, "O": -2.0}	2796	360
MNXR172180	movable	unbalanced	{"C": 1.0, "P": 2.0, "O": 7.0}	2896	331
MNXR129617	movable	unbalanced	{"O": 1.0}	2900	257
MNXR155270	movable	unbalanced	{"C": -2.0, "N": -1.0}	2896	377
MNXR179707	movable	unbalanced	{"C": 2.0}	2628	187
MNXR136461	movable	refused	["All participants are structureless and represent protein complexes; no concrete chemistry can be extracted for atom mapp"]	2697	55
MNXR110055	movable	refused	["All participants lack structure and cannot be concretized without inventing chemistry"]	2717	47
MNXR183072	movable	balanced	{}	2762	345
MNXR135358	movable	unbalanced	{"C": -20.0}	2862	420
MNXR194970	movable	balanced	{}	2774	224
MNXR174129	movable	unbalanced	{"C": -8.0, "O": -5.0, "N": -1.0, "*": -1.0}	2904	266
MNXR183261	movable	unbalanced	{"C": 1.0, "O": 1.0}	2872	520
MNXR166212	movable	unusable	["smiles 'O[C@H]1[C@H](O)[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)C2O)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-]' unparseable", "smiles 'O[C@H]1[C@H](O)[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)C2O)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-]' unparseable"]	2783	554
MNXR160153	movable	unbalanced	{"S": -7.0, "C": -9.0, "O": -15.0, "*": -7.0}	3070	299
MNXR180889	movable	unbalanced	{"C": 12.0, "O": 10.0}	3047	781
MNXR103081	movable	unbalanced	{"C": 2.0, "P": -2.0, "O": -7.0}	2712	429
MNXR104692	movable	unusable	["smiles 'O[C@H]1[C@H](O)COC(=O)CCCCCCC/C=C\\\\CCCCCCCC' unparseable", "smiles 'O[C@H]1[C@H](O)COC(=O)CCCCCCC/C=C\\\\CCCCCCCCC(=O)O[C@H]2[C@H](O)CO[C@@H]2C(=O)O' unparseable"]	2866	424
MNXR204387	one_sided	refused	["The reaction has no participants and cannot be rewritten into a balanced, concrete form."]	2559	52
MNXR162316	movable	refused	["Both participants are structureless peptides with no defined chemistry; no concrete transformation can be inferred."]	2685	54
MNXR133858	movable	unbalanced	{"C": 1.0, "O": 2.0}	2914	295
MNXR200955	movable	unbalanced	{"C": -6.0, "P": -2.0, "O": -10.0}	2870	475
MNXR171465	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 14 column 19 (char 1282); usage=Usage(prompt_tokens=2920, completion_tokens=1024, seconds=96.5537405119976)"]	0	0
MNXR186354	no_lever	balanced	{}	2971	113
MNXR154338	movable	unbalanced	{"C": -1.0}	2999	489
MNXR206476	no_lever	balanced	{}	2810	133
MNXR130728	movable	unbalanced	{"C": 1.0, "O": 1.0}	2772	649
MNXR180757	movable	unbalanced	{"C": -1.0}	2923	566
MNXR153943	movable	unbalanced	{"C": 1.0, "O": 1.0}	3014	264
MNXR199382	movable	balanced	{}	2759	232
MNXR132385	movable	unusable	["id MNXM167203 has no structure in MetaNetX", "id MNXM168209 has no structure in MetaNetX"]	2737	287
MNXR135145	movable	unbalanced	{"S": 1.0, "O": 3.0, "*": 2.0}	2997	488
MNXR160817	movable	unusable	["smiles 'CC(C)=OCCCCC(=O)O[C@H]1[C@H](O)COC1(C)C' unparseable", "smiles 'CC(C)=OCCCCC(=O)O[C@H]1[C@H](O)COP(=O)(O)OP(=O)(O)O[C@H]2[C@H](O)COP(=O)(O)O[C@H]3[C@H](O)COP(=O)(O)O[C@H]4[C@H](O)COP(=O)(O)O[C@H]5[C@H](O)COP(=O)(O)O[C@H]6[C@H](O)COP(=O)(O)O[C@H]7[C@H](O)COP(=O)(O)O[C@H]8[C@H](O)COP(=O)(O)O[C@H]9[C@H](O)COP(=O)(O)O[C@H]10[C@H](O)COP(=O)(O)O[C@H]11[C@H](O)COP(=O)(O)O[C@H]12[C@H](O)COP(=O)(O)O[C@H]13[C@H](O)COP(=O)(O)O[C@H]14[C@H](O)COP(=O)(O)O[C@H]15[C@H](O)COP(' unparseable"]	3026	996
MNXR97405	movable	unusable	["id MNXM1102194 has no structure in MetaNetX", "id MNXM148224 has no structure in MetaNetX"]	2908	900
MNXR184082	movable	unbalanced	{"S": -1.0, "C": -1.0, "O": -2.0, "*": -2.0}	2797	255
MNXR165713	movable	unbalanced	{"N": -2.0, "C": -16.0, "*": -1.0, "O": -10.0}	2881	335
MNXR160588	movable	unbalanced	{"N": 7.0, "C": 33.0, "P": 2.0, "O": 16.0}	2732	394
MNXR180083	movable	unbalanced	{"C": -2.0}	2969	221
